"COMMUNE_NOM","COLL_INSEE","ENFANT_SEXE","ENFANT_PRENOM","NOMBRE_OCCURRENCES","ANNEE"
"Digne-les-Bains","04070","M","Solal",1,2017
"Digne-les-Bains","04070","F","Soléa",1,2017
"Digne-les-Bains","04070","F","Souâd",1,2017
"Digne-les-Bains","04070","F","Stella",1,2017
"Digne-les-Bains","04070","M","Swan",1,2017
"Digne-les-Bains","04070","M","Swany",1,2017
"Digne-les-Bains","04070","M","Sydney",1,2017
"Digne-les-Bains","04070","M","Taho",1,2017
"Digne-les-Bains","04070","F","Tassnim",1,2017
"Digne-les-Bains","04070","M","Télyo",1,2017
"Digne-les-Bains","04070","F","Térésa",1,2017
"Digne-les-Bains","04070","F","Tessa",1,2017
"Digne-les-Bains","04070","F","Thaïlys",1,2017
"Digne-les-Bains","04070","M","Thao",1,2017
"Digne-les-Bains","04070","F","Théa",1,2017
"Digne-les-Bains","04070","M","Théo",2,2017
"Digne-les-Bains","04070","M","Tiago",1,2017
"Digne-les-Bains","04070","F","Tilia",1,2017
"Digne-les-Bains","04070","M","Timéo",1,2017
"Digne-les-Bains","04070","M","Tom",2,2017
"Digne-les-Bains","04070","M","Tony",1,2017
"Digne-les-Bains","04070","M","Tylio",1,2017
"Digne-les-Bains","04070","F","Victoire",1,2017
"Digne-les-Bains","04070","M","Waïl",1,2017
"Digne-les-Bains","04070","M","Wassim",1,2017
"Digne-les-Bains","04070","F","Wendie",1,2017
"Digne-les-Bains","04070","M","Wyssem",1,2017
"Digne-les-Bains","04070","M","Yacine",1,2017
"Digne-les-Bains","04070","F","Yaëlle",1,2017
"Digne-les-Bains","04070","F","Yana",1,2017
"Digne-les-Bains","04070","M","Yanis",1,2017
"Digne-les-Bains","04070","M","Yassir",1,2017
"Digne-les-Bains","04070","F","Ylana",1,2017
"Digne-les-Bains","04070","M","Yliam",1,2017
"Digne-les-Bains","04070","F","Ynès",1,2017
"Digne-les-Bains","04070","F","Yona",1,2017
"Digne-les-Bains","04070","M","Youcef",1,2017
"Digne-les-Bains","04070","M","Zaccharia",1,2017
"Digne-les-Bains","04070","M","Zayan",1,2017
"Digne-les-Bains","04070","M","Zion",1,2017
"Digne-les-Bains","04070","F","Zuhal",1,2017
"Digne-les-Bains","04070","M","Zyan",1,2017
